CampaignName,ReportName,Platform,aircraftID,takeoffdatetime,zone
2010_AN_UTIG,OIB_AN_20101125205915_UTIG_Report.txt,BT-67,C-GJKB,2010-11-25T20:59:15,UTC
2010_AN_UTIG,OIB_AN_20110107051727_UTIG_Report.txt,BT-67,C-GJKB,2011-01-07T05:17:27,UTC
2010_AN_UTIG,OIB_AN_20101220050442_UTIG_Report.txt,BT-67,C-GJKB,2010-12-20T05:04:42,UTC
2010_AN_UTIG,OIB_AN_20101201232423_UTIG_Report.txt,BT-67,C-GJKB,2010-12-01T23:24:23,UTC
2010_AN_UTIG,OIB_AN_20110113051152_UTIG_Report.txt,BT-67,C-GJKB,2011-01-13T05:11:52,UTC
2010_AN_UTIG,OIB_AN_20101217041200_UTIG_Report.txt,BT-67,C-GJKB,2010-12-17T04:12:00,UTC
2010_AN_UTIG,OIB_AN_20101124232711_UTIG_Report.txt,BT-67,C-GJKB,2010-11-24T23:27:11,UTC
2010_AN_UTIG,OIB_AN_20101125085418_UTIG_Report.txt,BT-67,C-GJKB,2010-11-25T08:54:18,UTC
2010_AN_UTIG,OIB_AN_20101208223404_UTIG_Report.txt,BT-67,C-GJKB,2010-12-08T22:34:04,UTC
2010_AN_UTIG,OIB_AN_20101218050610_UTIG_Report.txt,BT-67,C-GJKB,2010-12-18T05:06:10,UTC
2010_AN_UTIG,OIB_AN_20101130013100_UTIG_Report.txt,BT-67,C-GJKB,2010-11-30T01:31:00,UTC
2010_AN_UTIG,OIB_AN_20101205232600_UTIG_Report.txt,BT-67,C-GJKB,2010-12-05T23:26:00,UTC
2010_AN_UTIG,OIB_AN_20101123090535_UTIG_Report.txt,BT-67,C-GJKB,2010-11-23T09:05:35,UTC
2010_AN_UTIG,OIB_AN_20101129005925_UTIG_Report.txt,BT-67,C-GJKB,2010-11-29T00:59:25,UTC
2010_AN_UTIG,OIB_AN_20110101052744_UTIG_Report.txt,BT-67,C-GJKB,2011-01-01T05:27:44,UTC
2010_AN_UTIG,OIB_AN_20101207225158_UTIG_Report.txt,BT-67,C-GJKB,2010-12-07T22:51:58,UTC
2010_AN_UTIG,OIB_AN_20110106050755_UTIG_Report.txt,BT-67,C-GJKB,2011-01-06T05:07:55,UTC
2010_AN_UTIG,OIB_AN_20101229052726_UTIG_Report.txt,BT-67,C-GJKB,2010-12-29T05:27:26,UTC
2010_AN_UTIG,OIB_AN_20101221050516_UTIG_Report.txt,BT-67,C-GJKB,2010-12-21T05:05:16,UTC
2010_AN_UTIG,OIB_AN_20110128050750_UTIG_Report.txt,BT-67,C-GJKB,2011-01-28T05:07:50,UTC
2010_AN_UTIG,OIB_AN_20110109004346_UTIG_Report.txt,BT-67,C-GJKB,2011-01-09T00:43:46,UTC
2010_AN_UTIG,OIB_AN_20110118051614_UTIG_Report.txt,BT-67,C-GJKB,2011-01-18T05:16:14,UTC
2010_AN_UTIG,OIB_AN_20110102055653_UTIG_Report.txt,BT-67,C-GJKB,2011-01-02T05:56:53,UTC
2010_AN_UTIG,OIB_AN_20101130084500_UTIG_Report.txt,BT-67,C-GJKB,2010-11-30T08:45:00,UTC
2010_AN_UTIG,OIB_AN_20101122111700_UTIG_Report.txt,BT-67,C-GJKB,2010-11-22T11:17:00,UTC
2010_AN_UTIG,OIB_AN_20110121051434_UTIG_Report.txt,BT-67,C-GJKB,2011-01-21T05:14:34,UTC
2010_GR_NASA,OIB_GR_20100507102300_NASA_Report.txt,P-3B,N426NA,2010-05-07T10:23:00,UTC
2010_GR_NASA,OIB_GR_20100508102000_NASA_Report.txt,P-3B,N426NA,2010-05-08T10:20:00,UTC
2010_GR_NASA,OIB_GR_20100414110237_NASA_Report.txt,DC-8,N817NA,2010-04-14T11:02:37,UTC
2010_GR_NASA,OIB_GR_20100520110000_NASA_Report.txt,P-3B,N426NA,2010-05-20T11:00:00,UTC
2010_GR_NASA,OIB_GR_20100405105951_NASA_Report.txt,DC-8,N817NA,2010-04-05T10:59:51,UTC
2010_GR_NASA,OIB_GR_20100330110432_NASA_Report.txt,DC-8,N817NA,2010-03-30T11:04:32,UTC
2010_GR_NASA,OIB_GR_20100412112722_NASA_Report.txt,DC-8,N817NA,2010-04-12T11:27:22,UTC
2010_GR_NASA,OIB_GR_20100421111337_NASA_Report.txt,DC-8,N817NA,2010-04-21T11:13:37,UTC
2010_GR_NASA,OIB_GR_20100420110049_NASA_Report.txt,DC-8,N817NA,2010-04-20T11:00:49,UTC
2010_GR_NASA,OIB_GR_20100317000000_NASA_Report.txt,DC-8,N817NA,2010-03-17T15:07:00,UTC
2010_GR_NASA,OIB_GR_20100326110900_NASA_Report.txt,DC-8,N817NA,2010-03-26T11:09:00,UTC
2010_GR_NASA,OIB_GR_20100521110000_NASA_Report.txt,P-3B,N426NA,2010-05-21T11:00:00,UTC
2010_GR_NASA,OIB_GR_20100324110249_NASA_Report.txt,DC-8,N817NA,2010-03-24T11:02:49,UTC
2010_GR_NASA,OIB_GR_20100514101500_NASA_Report.txt,P-3B,N426NA,2010-05-14T10:15:00,UTC
2010_GR_NASA,OIB_GR_20100513123000_NASA_Report.txt,P-3B,N426NA,2010-05-13T12:30:00,UTC
2010_GR_NASA,OIB_GR_20100512114600_NASA_Report.txt,P-3B,N426NA,2010-05-12T11:46:00,UTC
2010_GR_NASA,OIB_GR_20100322064054_NASA_Report.txt,DC-8,N817NA,2010-03-22T06:40:54,UTC
2010_GR_NASA,OIB_GR_20100419114036_NASA_Report.txt,DC-8,N817NA,2010-04-19T11:40:36,UTC
2010_GR_NASA,OIB_GR_20100517101600_NASA_Report.txt,P-3B,N426NA,2010-05-17T10:16:00,UTC
2010_GR_NASA,OIB_GR_20100519110000_NASA_Report.txt,P-3B,N426NA,2010-05-19T11:00:00,UTC
2010_GR_NASA,OIB_GR_20100503171700_NASA_Report.txt,P-3B,N426NA,2010-05-03T17:17:00,UTC
2010_GR_NASA,OIB_GR_20100428205400_NASA_Report.txt,P-3B,N426NA,2010-04-28T20:54:00,UTC
2010_GR_NASA,OIB_GR_20100430192500_NASA_Report.txt,P-3B,N426NA,2010-04-30T19:25:00,UTC
2010_GR_NASA,OIB_GR_20100526110900_NASA_Report.txt,P-3B,N426NA,2010-05-26T11:09:00,UTC
2010_GR_NASA,OIB_GR_20100413112148_NASA_Report.txt,DC-8,N817NA,2010-04-13T11:21:48,UTC
2010_GR_NASA,OIB_GR_20100329113529_NASA_Report.txt,DC-8,N817NA,2010-03-29T11:35:29,UTC
2010_GR_NASA,OIB_GR_20100422140916_NASA_Report.txt,DC-8,N817NA,2010-04-22T14:09:16,UTC
2010_GR_NASA,OIB_GR_20100315000000_NASA_Report.txt,DC-8,N817NA,2010-03-15T,
2010_GR_NASA,OIB_GR_20100402110104_NASA_Report.txt,DC-8,N817NA,2010-04-02T11:01:04,UTC
2010_GR_NASA,OIB_GR_20100515114300_NASA_Report.txt,P-3B,N426NA,2010-05-15T11:43:00,UTC
2010_GR_NASA,OIB_GR_20100510112300_NASA_Report.txt,P-3B,N426NA,2010-05-10T11:23:00,UTC
2010_GR_NASA,OIB_GR_20100528114800_NASA_Report.txt,P-3B,N426NA,2010-05-28T11:48:00,UTC
2010_GR_NASA,OIB_GR_20100525110000_NASA_Report.txt,P-3B,N426NA,2010-05-25T11:00:00,UTC
2010_GR_NASA,OIB_GR_20100409110757_NASA_Report.txt,DC-8,N817NA,2010-04-09T11:07:57,UTC
2010_GR_NASA,OIB_GR_20100323110135_NASA_Report.txt,DC-8,N817NA,2010-03-23T11:01:35,UTC
2010_GR_NASA,OIB_GR_20100505124900_NASA_Report.txt,P-3B,N426NA,2010-05-05T12:49:00,UTC
2011_AK_UAF,OIB_AK_20110530022900_UAF_Report.txt,DHC-3,N226UT,2011-05-30T02:29:00,UTC
2011_AK_UAF,OIB_AK_20110529080000_UAF_Report.txt,DHC-3,N226UT,2011-05-29T16:00:00,UTC
2011_AK_UAF,OIB_AK_20110829160000_UAF_Report.txt,DHC-3,N226UT,2011-08-29T16:00:00,UTC
2011_AK_UAF,OIB_AK_20110912080000_UAF_Report.txt,DHC-3,N226UT,2011-09-12T16:00:00,UTC
2011_AK_UAF,OIB_AK_20110516080000_UAF_Report.txt,DHC-3,N226UT,2011-05-16T16:00:00,UTC
2011_AK_UAF,OIB_AK_20110828130000_UAF_Report.txt,DHC-3,N226UT,2011-08-28T21:00:00,UTC
